"['2004-6', 65707.21]"
"['2004-7', 67526.19]"
"['2004-8', 51830.87]"
"['2004-9', 60970.46]"
"['2004-10', 57886.64]"
"['2004-11', 59338.62]"
"['2004-12', 50544.81]"
"['2004-1', 50064.74]"
"['2004-2', 52696.86]"
"['2004-3', 58319.29]"
"['2004-4', 60995.08]"
"['2004-5', 56937.33]"
"['2005-6', 71099.23]"
"['2005-7', 72469.93]"
"['2005-8', 62714.49]"
"['2005-9', 67845.74]"
"['2005-10', 54147.79]"
"['2005-11', 52071.08]"
"['2005-12', 46584.18]"
"['2005-1', 48980.39]"
"['2005-2', 56514.74]"
"['2005-3', 61645.32]"
"['2005-4', 61509.42]"
"['2005-5', 62097.36]"
"['2006-6', 76093.89]"
"['2006-7', 79336.59]"
"['2006-8', 69125.93]"
"['2006-9', 68101.39]"
"['2006-10', 63436.24]"
"['2006-11', 54951.06]"
"['2006-12', 57577.2]"
"['2006-1', 60399.65]"
"['2006-2', 58605.42]"
"['2006-3', 62266.3]"
"['2006-4', 60939.94]"
"['2006-5', 141644.61]"
"['2007-6', 83604.87]"
"['2007-7', 87629.64]"
"['2007-8', 72385.03]"
"['2007-9', 76387.57]"
"['2007-10', 71337.72]"
"['2007-11', 62673.88]"
"['2007-12', 62470.06]"
"['2007-1', 58336.54]"
"['2007-2', 68457.35]"
"['2007-3', 67450.34]"
"['2007-4', 65473.88]"
"['2007-5', 73972.76]"
"['2008-6', 86097.63]"
"['2008-7', 88084.81]"
"['2008-8', 76048.59]"
"['2008-9', 76979.97]"
"['2008-10', 65207.45]"
"['2008-11', 59967.42]"
"['2008-12', 61716.85]"
"['2008-1', 65198.97]"
"['2008-2', 78148.63]"
"['2008-3', 78841.03]"
"['2008-4', 79789.18]"
"['2008-5', 83406.93]"
"['2009-6', 89353.81]"
"['2009-7', 97848.74]"
"['2009-8', 76208.1]"
"['2009-9', 83620.57]"
"['2009-10', 68111.95]"
"['2009-11', 62131.81]"
"['2009-12', 57245.45]"
"['2009-1', 60813.77]"
"['2009-2', 64555.19]"
"['2009-3', 66382.63]"
"['2009-4', 64897.29]"
"['2009-5', 68350.9]"
"['2010-6', 90043.26]"
"['2010-7', 81424.21]"
"['2010-8', 68036.99]"
"['2010-9', 71040.83]"
"['2010-10', 59189.55]"
"['2010-11', 46361.69]"
"['2010-12', 46755.6]"
"['2010-1', 56466.3]"
"['2010-2', 66120.76]"
"['2010-3', 63395.9]"
"['2010-4', 64908.06]"
"['2010-5', 69660.67]"
"['2011-6', 78158.01]"
"['2011-7', 76916.57]"
"['2011-8', 64331.64]"
"['2011-9', 64258.25]"
"['2011-10', 60467.81]"
"['2011-11', 50472.44]"
"['2011-12', 51784.54]"
"['2011-1', 51941.1]"
"['2011-2', 66161.04]"
"['2011-3', 70583.72]"
"['2011-4', 70574.17]"
"['2011-5', 65980.16]"
"['2012-6', 82004.17]"
"['2012-7', 80015.44]"
"['2012-8', 68833.47]"
"['2012-9', 72797.83]"
"['2012-10', 62060.96]"
"['2012-11', 61366.09]"
"['2012-12', 60201.85]"
"['2012-1', 61596.84]"
"['2012-2', 69177.64]"
"['2012-3', 61686.12]"
"['2012-4', 63277.25]"
"['2012-5', 77316.16]"
"['2013-6', 89276.96]"
"['2013-7', 86615.66]"
"['2013-8', 77945.52]"
"['2013-9', 73772.36]"
"['2013-10', 66793.65]"
"['2013-11', 58305.42]"
"['2013-12', 56916.8]"
"['2013-1', 59298.54]"
"['2013-2', 68357.05]"
"['2013-3', 69816.02]"
"['2013-4', 73777.87]"
"['2013-5', 81252.87]"
"['2014-6', 96237.35]"
"['2014-7', 91674.22]"
"['2014-8', 88416.16]"
"['2014-9', 87629.96]"
"['2014-10', 53348.02]"
"['2014-11', 57820.28]"
"['2014-12', 71442.6]"
"['2014-1', 80358.58]"
"['2014-2', 82646.64]"
"['2014-3', 89814.83]"
"['2014-4', 80757.88]"
"['2014-5', 78727.91]"
"['2015-6', 102621.04]"
"['2015-7', 143418.37]"
"['2015-8', 93105.68]"
"['2015-9', 91409.9]"
"['2015-10', 77451.59]"
"['2015-11', 73702.36]"
"['2015-12', 86278.34]"
"['2015-1', 71052.2]"
"['2015-2', 71306.86]"
"['2015-3', 69348.91]"
"['2015-4', 75273.07]"
"['2015-5', 82594.85]"
"['2016-6', 94774.9]"
"['2016-7', 92429.17]"
"['2016-8', 80811.87]"
"['2016-9', 76761.06]"
"['2016-10', 62332.2]"
"['2016-11', 67601.31]"
"['2016-12', 88752.4]"
"['2016-1', 66667.07]"
"['2016-2', 74741.61]"
"['2016-3', 74728.48]"
"['2016-4', 72458.04]"
"['2016-5', 82863.24]"
"['2017-6', 93418.4]"
"['2017-7', 90775.99]"
"['2017-8', 79921.24]"
"['2017-9', 77810.97]"
"['2017-10', 66475.09]"
"['2017-11', 61385.26]"
"['2017-12', 61557.65]"
"['2017-1', 65084.96]"
"['2017-2', 72273.04]"
"['2017-3', 72612.75]"
"['2017-4', 71458.49]"
"['2017-5', 88655.3]"
